Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
10/04/2011,ProShares Short FTSE China 50,YXI,56.01,56.09,-0.14263,-0.08,250,14002556.01
10/03/2011,ProShares Short FTSE China 50,YXI,56.09,54.2,3.48708,1.89,250,14022556.09
09/30/2011,ProShares Short FTSE China 50,YXI,54.2,50.97,6.33706,3.23,250,13550054.2
09/29/2011,ProShares Short FTSE China 50,YXI,50.97,51.71,-1.43106,-0.74,250,12742550.97
09/28/2011,ProShares Short FTSE China 50,YXI,51.71,49.79,3.85620,1.92,200,10342051.71
09/27/2011,ProShares Short FTSE China 50,YXI,49.79,52.43,-5.03529,-2.64,200,9958049.79
09/26/2011,ProShares Short FTSE China 50,YXI,52.43,52.21,0.42138,0.22,200,10486052.43
09/23/2011,ProShares Short FTSE China 50,YXI,52.21,53.47,-2.35646,-1.26,200,10442052.21
09/22/2011,ProShares Short FTSE China 50,YXI,53.47,50.34,6.21772,3.13,200,10694053.47
09/21/2011,ProShares Short FTSE China 50,YXI,50.34,48.2,4.43983,2.14,200,10068050.34
09/20/2011,ProShares Short FTSE China 50,YXI,48.2,47.95,0.52138,0.25,200,9640048.2
09/19/2011,ProShares Short FTSE China 50,YXI,47.95,46.41,3.31825,1.54,200,9590047.95
09/16/2011,ProShares Short FTSE China 50,YXI,46.41,46.74,-0.70603,-0.33,150,6961546.41
09/15/2011,ProShares Short FTSE China 50,YXI,46.74,47.3,-1.18393,-0.56,150,7011046.74
09/14/2011,ProShares Short FTSE China 50,YXI,47.3,47.34,-0.08450,-0.04,150,7095047.3
09/13/2011,ProShares Short FTSE China 50,YXI,47.34,47.57,-0.48350,-0.23,150,7101047.34
09/12/2011,ProShares Short FTSE China 50,YXI,47.57,47.31,0.54957,0.26,150,7135547.57
09/09/2011,ProShares Short FTSE China 50,YXI,47.31,46.11,2.60247,1.2,150,7096547.31
09/08/2011,ProShares Short FTSE China 50,YXI,46.11,45.03,2.39840,1.08,150,6916546.11
09/07/2011,ProShares Short FTSE China 50,YXI,45.03,45.86,-1.80986,-0.83,150,6754545.03
09/06/2011,ProShares Short FTSE China 50,YXI,45.86,45.87,-0.02180,-0.01,150,6879045.86
09/02/2011,ProShares Short FTSE China 50,YXI,45.87,44.81,2.36554,1.06,150,6880545.87
09/01/2011,ProShares Short FTSE China 50,YXI,44.81,44.19,1.40303,0.62,150,6721544.81
08/31/2011,ProShares Short FTSE China 50,YXI,44.19,45,-1.80000,-0.81,150,6628544.19
08/30/2011,ProShares Short FTSE China 50,YXI,45,45,0.00000,0,150,6750045
08/29/2011,ProShares Short FTSE China 50,YXI,45,46.25,-2.70270,-1.25,150,6750045
08/26/2011,ProShares Short FTSE China 50,YXI,46.25,46.66,-0.87870,-0.41,150,6937546.25
08/25/2011,ProShares Short FTSE China 50,YXI,46.66,46.39,0.58202,0.27,150,6999046.66
08/24/2011,ProShares Short FTSE China 50,YXI,46.39,45.85,1.17775,0.54,150,6958546.39
08/23/2011,ProShares Short FTSE China 50,YXI,45.85,48.08,-4.63810,-2.23,150,6877545.85
08/22/2011,ProShares Short FTSE China 50,YXI,48.08,47.8,0.58577,0.28,150,7212048.08
08/19/2011,ProShares Short FTSE China 50,YXI,47.8,47.41,0.82261,0.39,150,7170047.8
08/18/2011,ProShares Short FTSE China 50,YXI,47.41,45.56,4.06058,1.85,150,7111547.41
08/17/2011,ProShares Short FTSE China 50,YXI,45.56,45.45,0.24202,0.11,150,6834045.56
08/16/2011,ProShares Short FTSE China 50,YXI,45.45,45.15,0.66445,0.3,150,6817545.45
08/15/2011,ProShares Short FTSE China 50,YXI,45.15,46.94,-3.81338,-1.79,150,6772545.15
08/12/2011,ProShares Short FTSE China 50,YXI,46.94,46.52,0.90284,0.42,150,7041046.94
08/11/2011,ProShares Short FTSE China 50,YXI,46.52,49.18,-5.40870,-2.66,150,6978046.52
08/10/2011,ProShares Short FTSE China 50,YXI,49.18,46.43,5.92289,2.75,150,7377049.18
08/09/2011,ProShares Short FTSE China 50,YXI,46.43,48.28,-3.83181,-1.85,150,6964546.43
08/08/2011,ProShares Short FTSE China 50,YXI,48.28,45.02,7.24123,3.26,150,7242048.28
08/05/2011,ProShares Short FTSE China 50,YXI,45.02,44.48,1.21403,0.54,150,6753045.02
08/04/2011,ProShares Short FTSE China 50,YXI,44.48,42.69,4.19302,1.79,200,8896044.48
08/03/2011,ProShares Short FTSE China 50,YXI,42.69,42.58,0.25834,0.11,200,8538042.69
08/02/2011,ProShares Short FTSE China 50,YXI,42.58,41.51,2.57769,1.07,200,8516042.58
08/01/2011,ProShares Short FTSE China 50,YXI,41.51,41.36,0.36267,0.15,200,8302041.51
07/29/2011,ProShares Short FTSE China 50,YXI,41.36,41.32,0.09681,0.04,200,8272041.36
07/28/2011,ProShares Short FTSE China 50,YXI,41.32,41.61,-0.69695,-0.29,200,8264041.32
07/27/2011,ProShares Short FTSE China 50,YXI,41.61,41.06,1.33950,0.55,250,10402541.61
07/26/2011,ProShares Short FTSE China 50,YXI,41.06,41.53,-1.13171,-0.47,250,10265041.06
07/25/2011,ProShares Short FTSE China 50,YXI,41.53,41.27,0.63000,0.26,250,10382541.53
07/22/2011,ProShares Short FTSE China 50,YXI,41.27,41.55,-0.67389,-0.28,250,10317541.27
07/21/2011,ProShares Short FTSE China 50,YXI,41.55,41.8,-0.59809,-0.25,250,10387541.55
07/20/2011,ProShares Short FTSE China 50,YXI,41.8,41.98,-0.42878,-0.18,250,10450041.8
07/19/2011,ProShares Short FTSE China 50,YXI,41.98,42.56,-1.36278,-0.58,250,10495041.98
07/18/2011,ProShares Short FTSE China 50,YXI,42.56,42.44,0.28275,0.12,250,10640042.56
07/15/2011,ProShares Short FTSE China 50,YXI,42.44,42.58,-0.32879,-0.14,250,10610042.44
07/14/2011,ProShares Short FTSE China 50,YXI,42.58,42.26,0.75722,0.32,250,10645042.58
07/13/2011,ProShares Short FTSE China 50,YXI,42.26,42.91,-1.51480,-0.65,250,10565042.26
07/12/2011,ProShares Short FTSE China 50,YXI,42.91,42.53,0.89349,0.38,250,10727542.91
07/11/2011,ProShares Short FTSE China 50,YXI,42.53,41.58,2.28475,0.95,250,10632542.53
07/08/2011,ProShares Short FTSE China 50,YXI,41.58,41.07,1.24178,0.51,250,10395041.58
07/07/2011,ProShares Short FTSE China 50,YXI,41.07,41.49,-1.01229,-0.42,250,10267541.07
07/06/2011,ProShares Short FTSE China 50,YXI,41.49,40.94,1.34343,0.55,250,10372541.49
07/05/2011,ProShares Short FTSE China 50,YXI,40.94,40.61,0.81261,0.33,250,10235040.94
07/01/2011,ProShares Short FTSE China 50,YXI,40.61,40.96,-0.85449,-0.35,250,10152540.61
06/30/2011,ProShares Short FTSE China 50,YXI,40.96,41.46,-1.20598,-0.5,250,10240040.96
06/29/2011,ProShares Short FTSE China 50,YXI,41.46,41.32,0.33882,0.14,250,10365041.46
06/28/2011,ProShares Short FTSE China 50,YXI,41.32,41.57,-0.60140,-0.25,250,10330041.32
06/27/2011,ProShares Short FTSE China 50,YXI,41.57,42.3,-1.72577,-0.73,250,10392541.57
06/24/2011,ProShares Short FTSE China 50,YXI,42.3,42.69,-0.91356,-0.39,250,10575042.3
06/23/2011,ProShares Short FTSE China 50,YXI,42.69,42.86,-0.39664,-0.17,250,10672542.69
06/22/2011,ProShares Short FTSE China 50,YXI,42.86,42.07,1.87782,0.79,250,10715042.86
06/21/2011,ProShares Short FTSE China 50,YXI,42.07,42.74,-1.56762,-0.67,250,10517542.07
06/20/2011,ProShares Short FTSE China 50,YXI,42.74,42.55,0.44653,0.19,250,10685042.74
06/17/2011,ProShares Short FTSE China 50,YXI,42.55,42.62,-0.16424,-0.07,250,10637542.55
06/16/2011,ProShares Short FTSE China 50,YXI,42.62,42.38,0.56630,0.24,250,10655042.62
06/15/2011,ProShares Short FTSE China 50,YXI,42.38,41.61,1.85052,0.77,250,10595042.38
